"endpoint","status","duration_ms","size_bytes"
"overview","200","1891","2947"
"weekly","200","998","628"
"daily","200","1030","9458"
"drivers","200","997","11583"
"vehicles","200","1020","17955"
"shifts","500","10","0"
"input-mapping","200","4","4564"
"quality","200","7248","2590"
"root-cause","200","2049","22153"
