turno,trips,conductores,ticket_promedio,revenue_bruto,km_promedio,duracion_min,ticket_mediana
DIA,5563,31,10.67,59348.60,3.89,15.5,9.60
NOCHE,8388,32,9.91,83125.40,3.66,10.8,8.70
