bonus_type,trips_min,bonus_pct,bonus_amount,is_active,effective_from,effective_to,updated_at
general_branded,75,20.0000,320.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
general_branded,50,19.0000,260.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
general_branded,50,19.0000,260.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
general_branded,50,19.0000,260.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
general_branded,50,19.0000,260.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
general_branded,50,19.0000,260.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
general_branded,50,19.0000,260.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
general_branded,50,19.0000,260.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
general_branded,30,18.0000,175.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
general_branded,30,18.0000,175.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
general_branded,30,18.0000,175.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
general_branded,30,18.0000,175.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
general_branded,30,18.0000,175.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
general_branded,30,18.0000,175.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
general_branded,30,18.0000,175.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
general_unbranded,150,20.0000,450.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
general_unbranded,150,20.0000,450.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
general_unbranded,150,20.0000,450.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
general_unbranded,150,20.0000,450.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
general_unbranded,150,20.0000,450.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
general_unbranded,150,20.0000,450.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
general_unbranded,150,20.0000,450.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
general_unbranded,125,18.0000,390.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
general_unbranded,125,18.0000,390.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
general_unbranded,125,18.0000,390.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
general_unbranded,125,18.0000,390.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
general_unbranded,125,18.0000,390.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
general_unbranded,125,18.0000,390.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
general_unbranded,125,18.0000,390.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
general_unbranded,100,16.0000,315.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
general_unbranded,100,16.0000,315.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
general_unbranded,100,16.0000,315.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
general_unbranded,100,16.0000,315.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
general_unbranded,100,16.0000,315.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
general_unbranded,100,16.0000,315.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
general_unbranded,100,16.0000,315.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
general_unbranded,75,14.0000,230.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
general_unbranded,75,14.0000,230.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
general_unbranded,75,14.0000,230.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
general_unbranded,75,14.0000,230.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
general_unbranded,75,14.0000,230.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
general_unbranded,75,14.0000,230.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
general_unbranded,75,14.0000,230.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
general_unbranded,50,13.0000,170.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
general_unbranded,50,13.0000,170.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
general_unbranded,50,13.0000,170.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
general_unbranded,50,13.0000,170.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
general_unbranded,50,13.0000,170.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
general_unbranded,50,13.0000,170.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
general_unbranded,50,13.0000,170.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
general_unbranded,30,12.0000,125.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
general_unbranded,30,12.0000,125.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
general_unbranded,30,12.0000,125.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
general_unbranded,30,12.0000,125.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
general_unbranded,30,12.0000,125.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
general_unbranded,30,12.0000,125.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
general_unbranded,30,12.0000,125.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
general_unbranded,10,11.0000,60.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
general_unbranded,10,11.0000,60.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
general_unbranded,10,11.0000,60.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
general_unbranded,10,11.0000,60.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
general_unbranded,10,11.0000,60.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
general_unbranded,10,11.0000,60.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
general_unbranded,10,11.0000,60.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
premier,20,40.0000,600.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
premier,20,40.0000,600.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
premier,20,40.0000,600.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
premier,20,40.0000,600.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
premier,20,40.0000,600.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
premier,20,40.0000,600.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
premier,20,40.0000,600.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
premier,15,36.0000,410.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
premier,15,36.0000,410.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
premier,15,36.0000,410.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
premier,15,36.0000,410.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
premier,15,36.0000,410.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
premier,15,36.0000,410.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
premier,15,36.0000,410.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
premier,10,33.0000,250.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
premier,10,33.0000,250.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
premier,10,33.0000,250.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
premier,10,33.0000,250.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
premier,10,33.0000,250.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
premier,10,33.0000,250.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
premier,10,33.0000,250.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
premier,8,31.0000,190.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:44.197997-05:00
premier,8,31.0000,190.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:02.565169-05:00
premier,8,31.0000,190.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:08.107297-05:00
premier,8,31.0000,190.00,False,2026-05-30,2026-05-30,2026-05-30 22:32:15.691335-05:00
premier,8,31.0000,190.00,False,2026-05-30,2026-05-30,2026-05-30 22:34:42.949502-05:00
premier,8,31.0000,190.00,False,2026-05-30,2026-05-30,2026-05-30 22:36:22.695831-05:00
premier,8,31.0000,190.00,False,2026-05-30,2026-05-30,2026-05-30 22:30:52.484120-05:00
