date,mv_trips,ct_trips,trips_delta,trips_delta_pct,trips_class,mv_revenue,ct_revenue_final,ct_revenue_net,revenue_delta_final,revenue_delta_net,revenue_class,mv_drivers,ct_drivers,drivers_class
2026-06-04,2977,14213,-11236,-79.05,NEEDS_INVESTIGATION,1256.37,5832.27,0.0,-4575.9,1256.37,NEEDS_INVESTIGATION,900,1770,NEEDS_INVESTIGATION
2026-06-05,1523,0,1523,None,API_ONLY,355.95,0.0,0.0,355.95,355.95,API_ONLY,646,0,API_ONLY
