country,city,business_slice,kpi,month,monthly_value,weekly_sum,daily_sum,weekly_max,daily_max,expected_rule,comparable_across_grains,status,issue_note
colombia,barranquilla,Auto regular,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,trips_completed,2026-04-01,7947.0,14831.0,13250.0,5089.0,849.0,exact_sum,True,fail,SUM(weekly)=14831 vs monthly=7947; SUM(daily)=13250 vs monthly=7947
colombia,barranquilla,Auto regular,avg_ticket,2026-04-01,12581.03686925884,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,active_drivers,2026-04-01,266.0,2323.0,2072.0,785.0,126.0,not_directly_comparable,False,fail,monthly(266) < max(weekly)=785
colombia,barranquilla,Auto regular,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,exact_sum,True,ok,
colombia,barranquilla,Auto regular,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,trips_per_driver,2026-04-01,29.87593984962406,0.0,0.0,0.0,0.0,not_directly_comparable,False,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,barranquilla,Delivery moto,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Delivery moto,trips_completed,2026-04-01,766.0,1644.0,1479.0,626.0,109.0,exact_sum,True,fail,SUM(weekly)=1644 vs monthly=766; SUM(daily)=1479 vs monthly=766
colombia,barranquilla,Delivery moto,avg_ticket,2026-04-01,5309.660574412533,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Delivery moto,active_drivers,2026-04-01,36.0,222.0,197.0,71.0,12.0,not_directly_comparable,False,fail,monthly(36) < max(weekly)=71
colombia,barranquilla,Delivery moto,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,exact_sum,True,ok,
colombia,barranquilla,Delivery moto,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Delivery moto,trips_per_driver,2026-04-01,21.27777777777778,0.0,0.0,0.0,0.0,not_directly_comparable,False,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,bogota,Carga,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bogota,Carga,trips_completed,2026-04-01,1622.0,3307.0,2896.0,1117.0,207.0,exact_sum,True,fail,SUM(weekly)=3307 vs monthly=1622; SUM(daily)=2896 vs monthly=1622
colombia,bogota,Carga,avg_ticket,2026-04-01,54424.290998766955,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bogota,Carga,active_drivers,2026-04-01,168.0,1299.0,1148.0,457.0,78.0,not_directly_comparable,False,fail,monthly(168) < max(weekly)=457
colombia,bogota,Carga,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,exact_sum,True,ok,
colombia,bogota,Carga,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bogota,Carga,trips_per_driver,2026-04-01,9.654761904761905,0.0,0.0,0.0,0.0,not_directly_comparable,False,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,bucaramanga,Auto regular,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Auto regular,trips_completed,2026-04-01,155.0,169.0,155.0,93.0,23.0,exact_sum,True,fail,SUM(weekly)=169 vs monthly=155
colombia,bucaramanga,Auto regular,avg_ticket,2026-04-01,12042.58064516129,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Auto regular,active_drivers,2026-04-01,2.0,13.0,12.0,8.0,2.0,not_directly_comparable,False,fail,monthly(2) < max(weekly)=8
colombia,bucaramanga,Auto regular,revenue_yego_net,2026-04-01,0.0,0.0,0.0,0.0,0.0,exact_sum,True,ok,
colombia,bucaramanga,Auto regular,cancel_rate_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Auto regular,trips_per_driver,2026-04-01,77.5,0.0,0.0,0.0,0.0,not_directly_comparable,False,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,bucaramanga,Taxi Moto,commission_pct,2026-04-01,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Taxi Moto,trips_completed,2026-04-01,4.0,11.0,7.0,5.0,2.0,exact_sum,True,fail,SUM(weekly)=11 vs monthly=4; SUM(daily)=7 vs monthly=4
