country,city,business_slice,kpi,month,monthly_value,daily_sum_in_month,weekly_sum_full_iso,weekly_sum_intersect,weekly_max,daily_max,expected_rule,comparable_across_grains,validation_basis,status,issue_note
colombia,barranquilla,Auto regular,commission_pct,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,trips_completed,2025-12-01,39051.0,39051.0,42038.0,38572.28571428572,9790.0,1582.0,exact_sum,True,daily_in_month,ok,
colombia,barranquilla,Auto regular,avg_ticket,2025-12-01,12882.03329065301,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,active_drivers,2025-12-01,423.0,4118.0,4445.0,1021.0,1021.0,155.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
colombia,barranquilla,Auto regular,revenue_yego_net,2025-12-01,0.0,0.0,-1225105.0,-525045.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
colombia,barranquilla,Auto regular,cancel_rate_pct,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Auto regular,trips_per_driver,2025-12-01,92.31914893617021,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,barranquilla,Delivery moto,commission_pct,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Delivery moto,trips_completed,2025-12-01,3567.0,3567.0,3760.0,3436.5714285714284,881.0,166.0,exact_sum,True,daily_in_month,warning,"SUM(daily_in_month)=3567 OK; weekly_intersect=3436.57 vs monthly=3567 (tolerancia 2x, puede deberse a parciales de semana)"
colombia,barranquilla,Delivery moto,avg_ticket,2025-12-01,5892.514718250631,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Delivery moto,active_drivers,2025-12-01,73.0,451.0,476.0,108.0,108.0,21.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
colombia,barranquilla,Delivery moto,revenue_yego_net,2025-12-01,0.0,0.0,-21212.0,-9090.857142857143,0.0,0.0,exact_sum,True,daily_in_month,ok,
colombia,barranquilla,Delivery moto,cancel_rate_pct,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,barranquilla,Delivery moto,trips_per_driver,2025-12-01,48.863013698630134,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,bogota,Carga,commission_pct,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bogota,Carga,trips_completed,2025-12-01,4819.0,4819.0,5055.0,4576.142857142857,1167.0,301.0,exact_sum,True,daily_in_month,warning,"SUM(daily_in_month)=4819 OK; weekly_intersect=4576.14 vs monthly=4819 (tolerancia 2x, puede deberse a parciales de semana)"
colombia,bogota,Carga,avg_ticket,2025-12-01,67639.42726706786,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bogota,Carga,active_drivers,2025-12-01,264.0,1682.0,1784.0,385.0,385.0,104.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
colombia,bogota,Carga,revenue_yego_net,2025-12-01,0.0,0.0,-558124.0,-239196.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
colombia,bogota,Carga,cancel_rate_pct,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bogota,Carga,trips_per_driver,2025-12-01,18.25378787878788,0.0,0.0,0.0,0.0,0.0,not_directly_comparable,False,formula_internal,expected_non_comparable,"Derivado de drivers únicos: validado por fórmula scope-by-scope, no por suma."
colombia,bucaramanga,Auto regular,commission_pct,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Auto regular,trips_completed,2025-12-01,7.0,7.0,7.0,7.0,4.0,2.0,exact_sum,True,daily_in_month,ok,
colombia,bucaramanga,Auto regular,avg_ticket,2025-12-01,25314.285714285714,0.0,0.0,0.0,0.0,0.0,same_formula_different_scope,True,formula_internal,expected_non_comparable,Ratio: misma fórmula a distinto scope; consistencia interna OK.
colombia,bucaramanga,Auto regular,active_drivers,2025-12-01,2.0,7.0,7.0,4.0,4.0,2.0,not_directly_comparable,False,daily_in_month+max_scope,expected_non_comparable,Distinct count: monthly NO equivale a SUM(weekly|daily); rango vs daily_max verificado.
colombia,bucaramanga,Auto regular,revenue_yego_net,2025-12-01,0.0,0.0,0.0,0.0,0.0,0.0,exact_sum,True,daily_in_month,ok,
